#v100,,,,,,,,,,,,,,,,,,
#编号:区分不同功能(100起),lv等级,最小物理,最大物理,最小魔法,最大魔法,最小道术,最大道术,最小物防,最大物防,最小魔防,最大魔防,HP,MP,升级需求,,,,
#武器,,,,,,,,,,,,,,,,,,
270,11,31,96,31,96,31,96,0,0,0,0,0,0,0,0,0,0,0
270,12,37,115,37,115,37,115,0,0,0,0,0,0,0,0,0,0,0
270,13,44,136,44,136,44,136,0,0,0,0,0,0,0,0,0,0,0
270,14,51,159,51,159,51,159,0,0,0,0,0,0,0,0,0,0,0
270,15,59,183,59,183,59,183,0,0,0,0,0,0,0,0,0,0,0
270,16,67,210,67,210,67,210,0,0,0,0,0,0,0,0,0,0,0
270,17,76,238,76,238,76,238,0,0,0,0,0,0,0,0,0,0,0
270,18,86,267,86,267,86,267,0,0,0,0,0,0,0,0,0,0,0
270,19,96,299,96,299,96,299,0,0,0,0,0,0,0,0,0,0,0
270,20,106,332,106,332,106,332,0,0,0,0,0,0,0,0,0,0,0
