id,等级,技能类型,名字,图标,消耗贡献度,增加属性类型,增加属性值,战士血量,战士魔法量,法师血量,法师魔法量,道士血量,道士魔法量,开启所需技能ID
,,,,,,,,,,,,,,
int,int,int,string,string,int,int[],int[],int,int,int,int,int,int,int
30096,96,3,物防下限,wfxx,65000,1010,192,0,0,0,0,0,0,0
30097,97,3,物防下限,wfxx,65000,1010,194,0,0,0,0,0,0,0
30098,98,3,物防下限,wfxx,65000,1010,196,0,0,0,0,0,0,0
30099,99,3,物防下限,wfxx,65000,1010,198,0,0,0,0,0,0,0
30100,100,3,物防下限,wfxx,65000,1010,200,0,0,0,0,0,0,0
40001,1,4,物防上限,wfsx,20000,1011,5,0,0,0,0,0,0,30030
40002,2,4,物防上限,wfsx,20000,1011,6,0,0,0,0,0,0,0
40003,3,4,物防上限,wfsx,20000,1011,8,0,0,0,0,0,0,0
40004,4,4,物防上限,wfsx,20000,1011,11,0,0,0,0,0,0,0
40005,5,4,物防上限,wfsx,20000,1011,15,0,0,0,0,0,0,0
40006,6,4,物防上限,wfsx,20000,1011,20,0,0,0,0,0,0,0
40007,7,4,物防上限,wfsx,20000,1011,24,0,0,0,0,0,0,0
40008,8,4,物防上限,wfsx,20000,1011,28,0,0,0,0,0,0,0
40009,9,4,物防上限,wfsx,20000,1011,32,0,0,0,0,0,0,0
40010,10,4,物防上限,wfsx,20000,1011,37,0,0,0,0,0,0,0
40011,11,4,物防上限,wfsx,25000,1011,41,0,0,0,0,0,0,0
40012,12,4,物防上限,wfsx,25000,1011,45,0,0,0,0,0,0,0
40013,13,4,物防上限,wfsx,25000,1011,49,0,0,0,0,0,0,0
40014,14,4,物防上限,wfsx,25000,1011,53,0,0,0,0,0,0,0
40015,15,4,物防上限,wfsx,25000,1011,58,0,0,0,0,0,0,0
40016,16,4,物防上限,wfsx,25000,1011,62,0,0,0,0,0,0,0
40017,17,4,物防上限,wfsx,25000,1011,66,0,0,0,0,0,0,0
40018,18,4,物防上限,wfsx,25000,1011,70,0,0,0,0,0,0,0
40019,19,4,物防上限,wfsx,25000,1011,75,0,0,0,0,0,0,0
40020,20,4,物防上限,wfsx,25000,1011,79,0,0,0,0,0,0,0
40021,21,4,物防上限,wfsx,30000,1011,83,0,0,0,0,0,0,0
40022,22,4,物防上限,wfsx,30000,1011,87,0,0,0,0,0,0,0
40023,23,4,物防上限,wfsx,30000,1011,92,0,0,0,0,0,0,0
40024,24,4,物防上限,wfsx,30000,1011,96,0,0,0,0,0,0,0
40025,25,4,物防上限,wfsx,30000,1011,100,0,0,0,0,0,0,0
40026,26,4,物防上限,wfsx,30000,1011,104,0,0,0,0,0,0,0
40027,27,4,物防上限,wfsx,30000,1011,108,0,0,0,0,0,0,0
40028,28,4,物防上限,wfsx,30000,1011,113,0,0,0,0,0,0,0
40029,29,4,物防上限,wfsx,30000,1011,117,0,0,0,0,0,0,0
40030,30,4,物防上限,wfsx,30000,1011,121,0,0,0,0,0,0,0
40031,31,4,物防上限,wfsx,35000,1011,125,0,0,0,0,0,0,0
40032,32,4,物防上限,wfsx,35000,1011,130,0,0,0,0,0,0,0
40033,33,4,物防上限,wfsx,35000,1011,134,0,0,0,0,0,0,0
40034,34,4,物防上限,wfsx,35000,1011,138,0,0,0,0,0,0,0
40035,35,4,物防上限,wfsx,35000,1011,142,0,0,0,0,0,0,0
40036,36,4,物防上限,wfsx,35000,1011,147,0,0,0,0,0,0,0
40037,37,4,物防上限,wfsx,35000,1011,151,0,0,0,0,0,0,0
40038,38,4,物防上限,wfsx,35000,1011,155,0,0,0,0,0,0,0
40039,39,4,物防上限,wfsx,35000,1011,159,0,0,0,0,0,0,0
40040,40,4,物防上限,wfsx,35000,1011,164,0,0,0,0,0,0,0
40041,41,4,物防上限,wfsx,40000,1011,168,0,0,0,0,0,0,0
40042,42,4,物防上限,wfsx,40000,1011,172,0,0,0,0,0,0,0
40043,43,4,物防上限,wfsx,40000,1011,176,0,0,0,0,0,0,0
40044,44,4,物防上限,wfsx,40000,1011,180,0,0,0,0,0,0,0
40045,45,4,物防上限,wfsx,40000,1011,185,0,0,0,0,0,0,0
40046,46,4,物防上限,wfsx,40000,1011,189,0,0,0,0,0,0,0
40047,47,4,物防上限,wfsx,40000,1011,193,0,0,0,0,0,0,0
40048,48,4,物防上限,wfsx,40000,1011,197,0,0,0,0,0,0,0
40049,49,4,物防上限,wfsx,40000,1011,202,0,0,0,0,0,0,0
40050,50,4,物防上限,wfsx,40000,1011,206,0,0,0,0,0,0,0
40051,51,4,物防上限,wfsx,45000,1011,210,0,0,0,0,0,0,0
40052,52,4,物防上限,wfsx,45000,1011,214,0,0,0,0,0,0,0
40053,53,4,物防上限,wfsx,45000,1011,219,0,0,0,0,0,0,0
40054,54,4,物防上限,wfsx,45000,1011,223,0,0,0,0,0,0,0
40055,55,4,物防上限,wfsx,45000,1011,227,0,0,0,0,0,0,0
40056,56,4,物防上限,wfsx,45000,1011,231,0,0,0,0,0,0,0
40057,57,4,物防上限,wfsx,45000,1011,235,0,0,0,0,0,0,0
40058,58,4,物防上限,wfsx,45000,1011,240,0,0,0,0,0,0,0
40059,59,4,物防上限,wfsx,45000,1011,244,0,0,0,0,0,0,0
40060,60,4,物防上限,wfsx,45000,1011,248,0,0,0,0,0,0,0
40061,61,4,物防上限,wfsx,50000,1011,252,0,0,0,0,0,0,0
40062,62,4,物防上限,wfsx,50000,1011,257,0,0,0,0,0,0,0
40063,63,4,物防上限,wfsx,50000,1011,261,0,0,0,0,0,0,0
40064,64,4,物防上限,wfsx,50000,1011,265,0,0,0,0,0,0,0
40065,65,4,物防上限,wfsx,50000,1011,269,0,0,0,0,0,0,0
40066,66,4,物防上限,wfsx,50000,1011,274,0,0,0,0,0,0,0
40067,67,4,物防上限,wfsx,50000,1011,278,0,0,0,0,0,0,0
40068,68,4,物防上限,wfsx,50000,1011,282,0,0,0,0,0,0,0
40069,69,4,物防上限,wfsx,50000,1011,286,0,0,0,0,0,0,0
40070,70,4,物防上限,wfsx,50000,1011,291,0,0,0,0,0,0,0
40071,71,4,物防上限,wfsx,55000,1011,295,0,0,0,0,0,0,0
40072,72,4,物防上限,wfsx,55000,1011,299,0,0,0,0,0,0,0
40073,73,4,物防上限,wfsx,55000,1011,303,0,0,0,0,0,0,0
40074,74,4,物防上限,wfsx,55000,1011,307,0,0,0,0,0,0,0
40075,75,4,物防上限,wfsx,55000,1011,312,0,0,0,0,0,0,0
40076,76,4,物防上限,wfsx,55000,1011,316,0,0,0,0,0,0,0
40077,77,4,物防上限,wfsx,55000,1011,320,0,0,0,0,0,0,0
40078,78,4,物防上限,wfsx,55000,1011,324,0,0,0,0,0,0,0
40079,79,4,物防上限,wfsx,55000,1011,329,0,0,0,0,0,0,0
40080,80,4,物防上限,wfsx,55000,1011,333,0,0,0,0,0,0,0
40081,81,4,物防上限,wfsx,60000,1011,337,0,0,0,0,0,0,0
40082,82,4,物防上限,wfsx,60000,1011,341,0,0,0,0,0,0,0
40083,83,4,物防上限,wfsx,60000,1011,346,0,0,0,0,0,0,0
40084,84,4,物防上限,wfsx,60000,1011,350,0,0,0,0,0,0,0
40085,85,4,物防上限,wfsx,60000,1011,354,0,0,0,0,0,0,0
40086,86,4,物防上限,wfsx,60000,1011,358,0,0,0,0,0,0,0
40087,87,4,物防上限,wfsx,60000,1011,362,0,0,0,0,0,0,0
40088,88,4,物防上限,wfsx,60000,1011,367,0,0,0,0,0,0,0
40089,89,4,物防上限,wfsx,60000,1011,371,0,0,0,0,0,0,0
40090,90,4,物防上限,wfsx,60000,1011,375,0,0,0,0,0,0,0
40091,91,4,物防上限,wfsx,65000,1011,379,0,0,0,0,0,0,0
40092,92,4,物防上限,wfsx,65000,1011,384,0,0,0,0,0,0,0
40093,93,4,物防上限,wfsx,65000,1011,388,0,0,0,0,0,0,0
40094,94,4,物防上限,wfsx,65000,1011,392,0,0,0,0,0,0,0
40095,95,4,物防上限,wfsx,65000,1011,396,0,0,0,0,0,0,0
40096,96,4,物防上限,wfsx,65000,1011,401,0,0,0,0,0,0,0
40097,97,4,物防上限,wfsx,65000,1011,405,0,0,0,0,0,0,0
40098,98,4,物防上限,wfsx,65000,1011,409,0,0,0,0,0,0,0
40099,99,4,物防上限,wfsx,65000,1011,413,0,0,0,0,0,0,0
40100,100,4,物防上限,wfsx,65000,1011,418,0,0,0,0,0,0,0
50001,1,5,魔防下限,mfxx,20000,1012,2,0,0,0,0,0,0,40030
50002,2,5,魔防下限,mfxx,20000,1012,3,0,0,0,0,0,0,0
50003,3,5,魔防下限,mfxx,20000,1012,4,0,0,0,0,0,0,0
50004,4,5,魔防下限,mfxx,20000,1012,5,0,0,0,0,0,0,0
50005,5,5,魔防下限,mfxx,20000,1012,7,0,0,0,0,0,0,0
50006,6,5,魔防下限,mfxx,20000,1012,9,0,0,0,0,0,0,0
50007,7,5,魔防下限,mfxx,20000,1012,11,0,0,0,0,0,0,0
50008,8,5,魔防下限,mfxx,20000,1012,13,0,0,0,0,0,0,0
50009,9,5,魔防下限,mfxx,20000,1012,15,0,0,0,0,0,0,0
50010,10,5,魔防下限,mfxx,20000,1012,17,0,0,0,0,0,0,0
50011,11,5,魔防下限,mfxx,25000,1012,19,0,0,0,0,0,0,0
50012,12,5,魔防下限,mfxx,25000,1012,21,0,0,0,0,0,0,0
50013,13,5,魔防下限,mfxx,25000,1012,23,0,0,0,0,0,0,0
50014,14,5,魔防下限,mfxx,25000,1012,25,0,0,0,0,0,0,0
50015,15,5,魔防下限,mfxx,25000,1012,27,0,0,0,0,0,0,0
50016,16,5,魔防下限,mfxx,25000,1012,29,0,0,0,0,0,0,0
50017,17,5,魔防下限,mfxx,25000,1012,32,0,0,0,0,0,0,0
50018,18,5,魔防下限,mfxx,25000,1012,34,0,0,0,0,0,0,0
50019,19,5,魔防下限,mfxx,25000,1012,36,0,0,0,0,0,0,0
50020,20,5,魔防下限,mfxx,25000,1012,38,0,0,0,0,0,0,0
50021,21,5,魔防下限,mfxx,30000,1012,40,0,0,0,0,0,0,0
50022,22,5,魔防下限,mfxx,30000,1012,42,0,0,0,0,0,0,0
50023,23,5,魔防下限,mfxx,30000,1012,44,0,0,0,0,0,0,0
50024,24,5,魔防下限,mfxx,30000,1012,46,0,0,0,0,0,0,0
50025,25,5,魔防下限,mfxx,30000,1012,48,0,0,0,0,0,0,0
50026,26,5,魔防下限,mfxx,30000,1012,50,0,0,0,0,0,0,0
50027,27,5,魔防下限,mfxx,30000,1012,52,0,0,0,0,0,0,0
50028,28,5,魔防下限,mfxx,30000,1012,54,0,0,0,0,0,0,0
50029,29,5,魔防下限,mfxx,30000,1012,56,0,0,0,0,0,0,0
50030,30,5,魔防下限,mfxx,30000,1012,58,0,0,0,0,0,0,0
50031,31,5,魔防下限,mfxx,35000,1012,60,0,0,0,0,0,0,0
50032,32,5,魔防下限,mfxx,35000,1012,62,0,0,0,0,0,0,0
50033,33,5,魔防下限,mfxx,35000,1012,64,0,0,0,0,0,0,0
50034,34,5,魔防下限,mfxx,35000,1012,66,0,0,0,0,0,0,0
50035,35,5,魔防下限,mfxx,35000,1012,68,0,0,0,0,0,0,0
50036,36,5,魔防下限,mfxx,35000,1012,70,0,0,0,0,0,0,0
50037,37,5,魔防下限,mfxx,35000,1012,72,0,0,0,0,0,0,0
50038,38,5,魔防下限,mfxx,35000,1012,74,0,0,0,0,0,0,0
50039,39,5,魔防下限,mfxx,35000,1012,76,0,0,0,0,0,0,0
50040,40,5,魔防下限,mfxx,35000,1012,78,0,0,0,0,0,0,0
50041,41,5,魔防下限,mfxx,40000,1012,80,0,0,0,0,0,0,0
50042,42,5,魔防下限,mfxx,40000,1012,82,0,0,0,0,0,0,0
50043,43,5,魔防下限,mfxx,40000,1012,84,0,0,0,0,0,0,0
50044,44,5,魔防下限,mfxx,40000,1012,86,0,0,0,0,0,0,0
50045,45,5,魔防下限,mfxx,40000,1012,88,0,0,0,0,0,0,0
50046,46,5,魔防下限,mfxx,40000,1012,90,0,0,0,0,0,0,0
50047,47,5,魔防下限,mfxx,40000,1012,92,0,0,0,0,0,0,0
50048,48,5,魔防下限,mfxx,40000,1012,94,0,0,0,0,0,0,0
50049,49,5,魔防下限,mfxx,40000,1012,97,0,0,0,0,0,0,0
50050,50,5,魔防下限,mfxx,40000,1012,99,0,0,0,0,0,0,0
50051,51,5,魔防下限,mfxx,45000,1012,101,0,0,0,0,0,0,0
50052,52,5,魔防下限,mfxx,45000,1012,103,0,0,0,0,0,0,0
50053,53,5,魔防下限,mfxx,45000,1012,105,0,0,0,0,0,0,0
50054,54,5,魔防下限,mfxx,45000,1012,107,0,0,0,0,0,0,0
50055,55,5,魔防下限,mfxx,45000,1012,109,0,0,0,0,0,0,0
50056,56,5,魔防下限,mfxx,45000,1012,111,0,0,0,0,0,0,0
50057,57,5,魔防下限,mfxx,45000,1012,113,0,0,0,0,0,0,0
50058,58,5,魔防下限,mfxx,45000,1012,115,0,0,0,0,0,0,0
50059,59,5,魔防下限,mfxx,45000,1012,117,0,0,0,0,0,0,0
50060,60,5,魔防下限,mfxx,45000,1012,119,0,0,0,0,0,0,0
50061,61,5,魔防下限,mfxx,50000,1012,121,0,0,0,0,0,0,0
50062,62,5,魔防下限,mfxx,50000,1012,123,0,0,0,0,0,0,0
50063,63,5,魔防下限,mfxx,50000,1012,125,0,0,0,0,0,0,0
50064,64,5,魔防下限,mfxx,50000,1012,127,0,0,0,0,0,0,0
50065,65,5,魔防下限,mfxx,50000,1012,129,0,0,0,0,0,0,0
50066,66,5,魔防下限,mfxx,50000,1012,131,0,0,0,0,0,0,0
50067,67,5,魔防下限,mfxx,50000,1012,133,0,0,0,0,0,0,0
50068,68,5,魔防下限,mfxx,50000,1012,135,0,0,0,0,0,0,0
50069,69,5,魔防下限,mfxx,50000,1012,137,0,0,0,0,0,0,0
50070,70,5,魔防下限,mfxx,50000,1012,139,0,0,0,0,0,0,0
50071,71,5,魔防下限,mfxx,55000,1012,141,0,0,0,0,0,0,0
50072,72,5,魔防下限,mfxx,55000,1012,143,0,0,0,0,0,0,0
50073,73,5,魔防下限,mfxx,55000,1012,145,0,0,0,0,0,0,0
50074,74,5,魔防下限,mfxx,55000,1012,147,0,0,0,0,0,0,0
50075,75,5,魔防下限,mfxx,55000,1012,149,0,0,0,0,0,0,0
50076,76,5,魔防下限,mfxx,55000,1012,151,0,0,0,0,0,0,0
50077,77,5,魔防下限,mfxx,55000,1012,153,0,0,0,0,0,0,0
50078,78,5,魔防下限,mfxx,55000,1012,155,0,0,0,0,0,0,0
50079,79,5,魔防下限,mfxx,55000,1012,157,0,0,0,0,0,0,0
50080,80,5,魔防下限,mfxx,55000,1012,160,0,0,0,0,0,0,0
50081,81,5,魔防下限,mfxx,60000,1012,162,0,0,0,0,0,0,0
50082,82,5,魔防下限,mfxx,60000,1012,164,0,0,0,0,0,0,0
50083,83,5,魔防下限,mfxx,60000,1012,166,0,0,0,0,0,0,0
50084,84,5,魔防下限,mfxx,60000,1012,168,0,0,0,0,0,0,0
50085,85,5,魔防下限,mfxx,60000,1012,170,0,0,0,0,0,0,0
50086,86,5,魔防下限,mfxx,60000,1012,172,0,0,0,0,0,0,0
50087,87,5,魔防下限,mfxx,60000,1012,174,0,0,0,0,0,0,0
50088,88,5,魔防下限,mfxx,60000,1012,176,0,0,0,0,0,0,0
50089,89,5,魔防下限,mfxx,60000,1012,178,0,0,0,0,0,0,0
50090,90,5,魔防下限,mfxx,60000,1012,180,0,0,0,0,0,0,0
50091,91,5,魔防下限,mfxx,65000,1012,182,0,0,0,0,0,0,0
50092,92,5,魔防下限,mfxx,65000,1012,184,0,0,0,0,0,0,0
50093,93,5,魔防下限,mfxx,65000,1012,186,0,0,0,0,0,0,0
50094,94,5,魔防下限,mfxx,65000,1012,188,0,0,0,0,0,0,0
50095,95,5,魔防下限,mfxx,65000,1012,190,0,0,0,0,0,0,0
50096,96,5,魔防下限,mfxx,65000,1012,192,0,0,0,0,0,0,0
50097,97,5,魔防下限,mfxx,65000,1012,194,0,0,0,0,0,0,0
50098,98,5,魔防下限,mfxx,65000,1012,196,0,0,0,0,0,0,0
50099,99,5,魔防下限,mfxx,65000,1012,198,0,0,0,0,0,0,0
50100,100,5,魔防下限,mfxx,65000,1012,200,0,0,0,0,0,0,0
60001,1,6,魔防上限,mfsx,20000,1013,5,0,0,0,0,0,0,50030
60002,2,6,魔防上限,mfsx,20000,1013,6,0,0,0,0,0,0,0
60003,3,6,魔防上限,mfsx,20000,1013,8,0,0,0,0,0,0,0
60004,4,6,魔防上限,mfsx,20000,1013,11,0,0,0,0,0,0,0
60005,5,6,魔防上限,mfsx,20000,1013,15,0,0,0,0,0,0,0
60006,6,6,魔防上限,mfsx,20000,1013,20,0,0,0,0,0,0,0
60007,7,6,魔防上限,mfsx,20000,1013,24,0,0,0,0,0,0,0
60008,8,6,魔防上限,mfsx,20000,1013,28,0,0,0,0,0,0,0
60009,9,6,魔防上限,mfsx,20000,1013,32,0,0,0,0,0,0,0
60010,10,6,魔防上限,mfsx,20000,1013,37,0,0,0,0,0,0,0
60011,11,6,魔防上限,mfsx,25000,1013,41,0,0,0,0,0,0,0
60012,12,6,魔防上限,mfsx,25000,1013,45,0,0,0,0,0,0,0
60013,13,6,魔防上限,mfsx,25000,1013,49,0,0,0,0,0,0,0
60014,14,6,魔防上限,mfsx,25000,1013,53,0,0,0,0,0,0,0
60015,15,6,魔防上限,mfsx,25000,1013,58,0,0,0,0,0,0,0
60016,16,6,魔防上限,mfsx,25000,1013,62,0,0,0,0,0,0,0
60017,17,6,魔防上限,mfsx,25000,1013,66,0,0,0,0,0,0,0
60018,18,6,魔防上限,mfsx,25000,1013,70,0,0,0,0,0,0,0
60019,19,6,魔防上限,mfsx,25000,1013,75,0,0,0,0,0,0,0
60020,20,6,魔防上限,mfsx,25000,1013,79,0,0,0,0,0,0,0
60021,21,6,魔防上限,mfsx,30000,1013,83,0,0,0,0,0,0,0
60022,22,6,魔防上限,mfsx,30000,1013,87,0,0,0,0,0,0,0
60023,23,6,魔防上限,mfsx,30000,1013,92,0,0,0,0,0,0,0
60024,24,6,魔防上限,mfsx,30000,1013,96,0,0,0,0,0,0,0
60025,25,6,魔防上限,mfsx,30000,1013,100,0,0,0,0,0,0,0
60026,26,6,魔防上限,mfsx,30000,1013,104,0,0,0,0,0,0,0
60027,27,6,魔防上限,mfsx,30000,1013,108,0,0,0,0,0,0,0
60028,28,6,魔防上限,mfsx,30000,1013,113,0,0,0,0,0,0,0
60029,29,6,魔防上限,mfsx,30000,1013,117,0,0,0,0,0,0,0
60030,30,6,魔防上限,mfsx,30000,1013,121,0,0,0,0,0,0,0
60031,31,6,魔防上限,mfsx,35000,1013,125,0,0,0,0,0,0,0
60032,32,6,魔防上限,mfsx,35000,1013,130,0,0,0,0,0,0,0
60033,33,6,魔防上限,mfsx,35000,1013,134,0,0,0,0,0,0,0
60034,34,6,魔防上限,mfsx,35000,1013,138,0,0,0,0,0,0,0
60035,35,6,魔防上限,mfsx,35000,1013,142,0,0,0,0,0,0,0
60036,36,6,魔防上限,mfsx,35000,1013,147,0,0,0,0,0,0,0
60037,37,6,魔防上限,mfsx,35000,1013,151,0,0,0,0,0,0,0
60038,38,6,魔防上限,mfsx,35000,1013,155,0,0,0,0,0,0,0
60039,39,6,魔防上限,mfsx,35000,1013,159,0,0,0,0,0,0,0
60040,40,6,魔防上限,mfsx,35000,1013,164,0,0,0,0,0,0,0
60041,41,6,魔防上限,mfsx,40000,1013,168,0,0,0,0,0,0,0
60042,42,6,魔防上限,mfsx,40000,1013,172,0,0,0,0,0,0,0
60043,43,6,魔防上限,mfsx,40000,1013,176,0,0,0,0,0,0,0
60044,44,6,魔防上限,mfsx,40000,1013,180,0,0,0,0,0,0,0
60045,45,6,魔防上限,mfsx,40000,1013,185,0,0,0,0,0,0,0
60046,46,6,魔防上限,mfsx,40000,1013,189,0,0,0,0,0,0,0
60047,47,6,魔防上限,mfsx,40000,1013,193,0,0,0,0,0,0,0
60048,48,6,魔防上限,mfsx,40000,1013,197,0,0,0,0,0,0,0
60049,49,6,魔防上限,mfsx,40000,1013,202,0,0,0,0,0,0,0
60050,50,6,魔防上限,mfsx,40000,1013,206,0,0,0,0,0,0,0
60051,51,6,魔防上限,mfsx,45000,1013,210,0,0,0,0,0,0,0
60052,52,6,魔防上限,mfsx,45000,1013,214,0,0,0,0,0,0,0
60053,53,6,魔防上限,mfsx,45000,1013,219,0,0,0,0,0,0,0
60054,54,6,魔防上限,mfsx,45000,1013,223,0,0,0,0,0,0,0
60055,55,6,魔防上限,mfsx,45000,1013,227,0,0,0,0,0,0,0
60056,56,6,魔防上限,mfsx,45000,1013,231,0,0,0,0,0,0,0
60057,57,6,魔防上限,mfsx,45000,1013,235,0,0,0,0,0,0,0
60058,58,6,魔防上限,mfsx,45000,1013,240,0,0,0,0,0,0,0
60059,59,6,魔防上限,mfsx,45000,1013,244,0,0,0,0,0,0,0
60060,60,6,魔防上限,mfsx,45000,1013,248,0,0,0,0,0,0,0
60061,61,6,魔防上限,mfsx,50000,1013,252,0,0,0,0,0,0,0
60062,62,6,魔防上限,mfsx,50000,1013,257,0,0,0,0,0,0,0
60063,63,6,魔防上限,mfsx,50000,1013,261,0,0,0,0,0,0,0
60064,64,6,魔防上限,mfsx,50000,1013,265,0,0,0,0,0,0,0
60065,65,6,魔防上限,mfsx,50000,1013,269,0,0,0,0,0,0,0
60066,66,6,魔防上限,mfsx,50000,1013,274,0,0,0,0,0,0,0
60067,67,6,魔防上限,mfsx,50000,1013,278,0,0,0,0,0,0,0
60068,68,6,魔防上限,mfsx,50000,1013,282,0,0,0,0,0,0,0
60069,69,6,魔防上限,mfsx,50000,1013,286,0,0,0,0,0,0,0
60070,70,6,魔防上限,mfsx,50000,1013,291,0,0,0,0,0,0,0
60071,71,6,魔防上限,mfsx,55000,1013,295,0,0,0,0,0,0,0
60072,72,6,魔防上限,mfsx,55000,1013,299,0,0,0,0,0,0,0
60073,73,6,魔防上限,mfsx,55000,1013,303,0,0,0,0,0,0,0
60074,74,6,魔防上限,mfsx,55000,1013,307,0,0,0,0,0,0,0
60075,75,6,魔防上限,mfsx,55000,1013,312,0,0,0,0,0,0,0
60076,76,6,魔防上限,mfsx,55000,1013,316,0,0,0,0,0,0,0
60077,77,6,魔防上限,mfsx,55000,1013,320,0,0,0,0,0,0,0
60078,78,6,魔防上限,mfsx,55000,1013,324,0,0,0,0,0,0,0
60079,79,6,魔防上限,mfsx,55000,1013,329,0,0,0,0,0,0,0
60080,80,6,魔防上限,mfsx,55000,1013,333,0,0,0,0,0,0,0
60081,81,6,魔防上限,mfsx,60000,1013,337,0,0,0,0,0,0,0
60082,82,6,魔防上限,mfsx,60000,1013,341,0,0,0,0,0,0,0
60083,83,6,魔防上限,mfsx,60000,1013,346,0,0,0,0,0,0,0
60084,84,6,魔防上限,mfsx,60000,1013,350,0,0,0,0,0,0,0
60085,85,6,魔防上限,mfsx,60000,1013,354,0,0,0,0,0,0,0
60086,86,6,魔防上限,mfsx,60000,1013,358,0,0,0,0,0,0,0
60087,87,6,魔防上限,mfsx,60000,1013,362,0,0,0,0,0,0,0
60088,88,6,魔防上限,mfsx,60000,1013,367,0,0,0,0,0,0,0
60089,89,6,魔防上限,mfsx,60000,1013,371,0,0,0,0,0,0,0
60090,90,6,魔防上限,mfsx,60000,1013,375,0,0,0,0,0,0,0
60091,91,6,魔防上限,mfsx,65000,1013,379,0,0,0,0,0,0,0
60092,92,6,魔防上限,mfsx,65000,1013,384,0,0,0,0,0,0,0
60093,93,6,魔防上限,mfsx,65000,1013,388,0,0,0,0,0,0,0
60094,94,6,魔防上限,mfsx,65000,1013,392,0,0,0,0,0,0,0
60095,95,6,魔防上限,mfsx,65000,1013,396,0,0,0,0,0,0,0
60096,96,6,魔防上限,mfsx,65000,1013,401,0,0,0,0,0,0,0
60097,97,6,魔防上限,mfsx,65000,1013,405,0,0,0,0,0,0,0
60098,98,6,魔防上限,mfsx,65000,1013,409,0,0,0,0,0,0,0
60099,99,6,魔防上限,mfsx,65000,1013,413,0,0,0,0,0,0,0
60100,100,6,魔防上限,mfsx,65000,1013,418,0,0,0,0,0,0,0
70001,1,7,生命,sm,20000,0,0,34,0,10,0,18,0,60030
70002,2,7,生命,sm,20000,0,0,41,0,12,0,22,0,0
70003,3,7,生命,sm,20000,0,0,55,0,16,0,30,0,0
70004,4,7,生命,sm,20000,0,0,76,0,22,0,41,0,0
70005,5,7,生命,sm,20000,0,0,104,0,31,0,57,0,0
70006,6,7,生命,sm,20000,0,0,132,0,39,0,72,0,0
70007,7,7,生命,sm,20000,0,0,160,0,48,0,88,0,0
70008,8,7,生命,sm,20000,0,0,187,0,56,0,102,0,0
70009,9,7,生命,sm,20000,0,0,215,0,64,0,118,0,0
70010,10,7,生命,sm,20000,0,0,243,0,72,0,133,0,0
70011,11,7,生命,sm,25000,0,0,271,0,81,0,149,0,0
70012,12,7,生命,sm,25000,0,0,299,0,89,0,164,0,0
70013,13,7,生命,sm,25000,0,0,327,0,98,0,179,0,0
70014,14,7,生命,sm,25000,0,0,355,0,106,0,195,0,0
70015,15,7,生命,sm,25000,0,0,382,0,114,0,210,0,0
70016,16,7,生命,sm,25000,0,0,410,0,123,0,225,0,0
70017,17,7,生命,sm,25000,0,0,438,0,131,0,240,0,0
70018,18,7,生命,sm,25000,0,0,466,0,139,0,256,0,0
70019,19,7,生命,sm,25000,0,0,494,0,148,0,271,0,0
70020,20,7,生命,sm,25000,0,0,522,0,156,0,287,0,0
70021,21,7,生命,sm,30000,0,0,550,0,165,0,302,0,0
70022,22,7,生命,sm,30000,0,0,577,0,173,0,317,0,0
70023,23,7,生命,sm,30000,0,0,605,0,181,0,332,0,0
70024,24,7,生命,sm,30000,0,0,633,0,189,0,348,0,0
70025,25,7,生命,sm,30000,0,0,661,0,198,0,363,0,0
70026,26,7,生命,sm,30000,0,0,689,0,206,0,378,0,0
70027,27,7,生命,sm,30000,0,0,717,0,215,0,394,0,0
70028,28,7,生命,sm,30000,0,0,744,0,223,0,409,0,0
70029,29,7,生命,sm,30000,0,0,772,0,231,0,424,0,0
70030,30,7,生命,sm,30000,0,0,800,0,240,0,440,0,0
70031,31,7,生命,sm,35000,0,0,828,0,248,0,455,0,0
70032,32,7,生命,sm,35000,0,0,856,0,256,0,470,0,0
70033,33,7,生命,sm,35000,0,0,884,0,265,0,486,0,0
70034,34,7,生命,sm,35000,0,0,912,0,273,0,501,0,0
70035,35,7,生命,sm,35000,0,0,939,0,281,0,516,0,0
70036,36,7,生命,sm,35000,0,0,967,0,290,0,531,0,0
70037,37,7,生命,sm,35000,0,0,995,0,298,0,547,0,0
70038,38,7,生命,sm,35000,0,0,1023,0,306,0,562,0,0
70039,39,7,生命,sm,35000,0,0,1051,0,315,0,578,0,0
70040,40,7,生命,sm,35000,0,0,1079,0,323,0,593,0,0
70041,41,7,生命,sm,40000,0,0,1106,0,331,0,608,0,0
70042,42,7,生命,sm,40000,0,0,1134,0,340,0,623,0,0
70043,43,7,生命,sm,40000,0,0,1162,0,348,0,639,0,0
70044,44,7,生命,sm,40000,0,0,1190,0,357,0,654,0,0
70045,45,7,生命,sm,40000,0,0,1218,0,365,0,669,0,0
70046,46,7,生命,sm,40000,0,0,1246,0,373,0,685,0,0
70047,47,7,生命,sm,40000,0,0,1274,0,382,0,700,0,0
70048,48,7,生命,sm,40000,0,0,1301,0,390,0,715,0,0
70049,49,7,生命,sm,40000,0,0,1329,0,398,0,730,0,0
70050,50,7,生命,sm,40000,0,0,1357,0,407,0,746,0,0
70051,51,7,生命,sm,45000,0,0,1385,0,415,0,761,0,0
